opportunity_id,company_id,title,entry_route,level,role_family,description,typical_quals,useful_projects,application_tips,source
VOP01115,VACDA49C38C,Bar and Waiting Apprenticeship,apprenticeship,nan,admin,"As Bar and Waiting Staff at O'Neill's you are the personality behind the beer pumps, the expert on the drink's menu and know our food menu inside out, frequently recommending your favourites. As the friendly face our guests remember, you'll inject your personality every moment you're with our guests so that they love to come back time and time again.   Responsibilities   Greet, serve and look a...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01116,VACDA49C38C,Bar and Waiting Apprenticeship,apprenticeship,nan,admin,"As Bar and Waiting Staff at O'Neill's you are the personality behind the beer pumps, the expert on the drink's menu and know our food menu inside out, frequently recommending your favourites. As the friendly face our guests remember, you'll inject your personality every moment you're with our guests so that they love to come back time and time again.   Responsibilities   Greet, serve and look a...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01117,VACDA49C38C,Bar and Waiting Apprenticeship,apprenticeship,nan,admin,"As Bar and Waiting Staff at O'Neill's you are the personality behind the beer pumps, the expert on the drinks' menu and know our food menu inside out, frequently recommending your favourites. As the friendly face our guests remember, you'll inject your personality every moment you're with our guests so that they love to come back time and time again.   Responsibilities:   Greet, serve and look ...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01118,VAC2ACB8255,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Ember Inns, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:     Be a champion of brand standards..  Keep your kitchen clean..  Prepare ever...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01119,VAC2ACB8255,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Ember Inns, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:     Be a champion of brand standards.  Keep your kitchen clean.  Prepare everyt...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01120,VAC2ACB8255,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Ember Inns, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:     Be a champion of brand standards..  Keep your kitchen clean..  Prepare ever...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01121,VAC084B3AD4,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As a Chef with us, your food is the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, pulling together as a team. With 19 brands and 1600 businesses, the opportunities to develop and grow in one of our kitchens are endless.   Responsibilities:     Have open communication with the entire team to ensure the delivery of outstanding food a...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01122,VAC084B3AD4,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Premium Country Pubs, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:     Be a champion of brand standards.  Keep your kitchen clean.  Prep...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01123,VAC084B3AD4,Chef Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"As an apprentice Chef at Premium Country Pubs, we will help you master our menu, with your food being the reason guests keep coming through our doors! You'll thrive off the hustle and bustle of a fast-paced kitchen, with the support of a close-knit team, because it's the people that make it all worthwhile.   Responsibilities:     Be a champion of brand standards..  Keep your kitchen clean..  Pr...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP01124,VAC16428E7D,Business Administration Apprentice,apprenticeship,Advanced Level 3 (A level),admin,An excellent opportunity to join a small Bristol based family business.   The successful candidate will be involved in the following duties:     Organising and filing of information and invoices in paper and digital form.  Customer service including dealing with customer queries on the phone and email.  Organising post and deliveries.  Generating invoices.  Speaking to suppliers and placing sto...,"Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Analytical skills,Team working,Punctual,Hard working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
